Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (C),TA pipette vol (ml),TA cell temp (C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l),salinity_availability,ctd_temp_availability,Pressure_CTD,sampling_date,Longitude,Latitude,crm_batch,DIC_certified_umolkg,TA_certified_umolkg,sample_temp_flag,sample_temperature_alternative,analysis_datetime,netdiccounts,diccounts_volcorr,dic_sw_density,dicpipmass,dic_crm_pip_umol,dic_crm_counts_per_umol,dic_crm_counts_per_umol_mean_allcells,dic_crm_counts_per_umol_std_allcells,dic_sample_pip_umol_allcells,dic_sample_umol_per_l_allcells,dic_sample_umol_per_kg_allcells,dic_crm_counts_per_umol_mean_percell,dic_crm_counts_per_umol_std_percell,dic_sample_pip_umol,dic_sample_umol_per_l,dic_sample_umol_per_kg,dic_driftcorr_flag,dic_crm_counts_per_umol_driftcorr,dic_sample_pip_umol_driftcorr,dic_sample_umol_per_l_driftcorr,dic_sample_umol_per_kg_driftcorr
8888_208_1208_0_1_1, ,,,3,2024-01-27 00:00:00,194536,8888,208,1208,1,1,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,13,244.0,222475.0,3,24.78,96.7556,24.41,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-27 19:45:36,222422.13333333333,222466.61776,1022.0042070584349,22.324864299825865,45.981630003779344,4837.195491222297,4843.449614233142,7.0707489583139544,45.922256046540745,2102.2631200291494,2057.0004560743932,4837.995688558244,0.8291963874076486,45.97402471014121,2104.633024333288,2059.319335280341,0,,,,
8888_208_1208_0_1_2, ,,,3,2024-01-27 00:00:00,201449,8888,208,1208,2,2,2,0,0.0,33.14,0.58,3.3,3.2,21.8442,50,0.0,5,311.0,222498.0,3,25.09,96.7556,24.54,,,,,,,,,,208.0,2059.66,2215.76,,,2024-01-27 20:14:49,222472.08333333334,222516.57775,1021.9109048520611,22.322826187769394,45.97743218590111,4838.723537969873,4843.449614233142,7.0707489583139544,45.932568944160906,2102.735231510465,2057.6502526067784,4837.995688558244,0.8291963874076486,45.98434923360412,2105.1056680310617,2059.9698643354936,0,,,,
0000_003_6_356_1_1, ,,,3,2024-01-27 00:00:00,204508,0,3,6,1,1,1,356,0.6163,34.6034,0.0,0.0,,21.8442,50,0.0,37,254.0,243396.0,3,25.11,96.7556,24.61,,,,1.0,1.0,359.817,2024-01-22 00:00:00,-56.67212,-61.45412,,,,,,2024-01-27 20:45:08,243239.36666666667,243288.01454,1023.0099337083883,22.346833593912773,,,4843.449614233142,7.0707489583139544,50.22027398651457,2299.020975202322,2247.3105093597887,4837.995688558244,0.8291963874076486,50.27688785294343,2301.6126867975677,2249.84392717896,0,,,,
0000_003_6_356_2_1, ,,,3,2024-01-27 00:00:00,211413,0,3,6,2,1,1,356,0.6163,34.6034,0.0,0.0,,21.8442,50,0.0,30,237.0,243033.0,3,25.33,96.7556,24.65,,,,1.0,1.0,359.817,2024-01-22 00:00:00,-56.67212,-61.45412,,,,,,2024-01-27 21:14:13,242914.5,242963.0829,1022.9428097373105,22.34536732446376,,,4843.449614233142,7.0707489583139544,50.15320057963696,2295.9504390015177,2244.456305031473,4837.995688558244,0.8291963874076486,50.20973883347759,2298.538689147581,2246.9865052747577,0,,,,
0000_003_2_456_1_1, ,,,3,2024-01-27 00:00:00,214813,0,3,2,1,1,1,456,0.7231,34.6246,0.0,0.0,,21.8442,50,0.0,0,246.0,243245.0,3,25.5,96.7556,24.7,,,,1.0,1.0,461.815,2024-01-22 00:00:00,-56.67354,-61.4543,,,,,,2024-01-27 21:48:13,243245.0,243293.649,1022.9066892234393,22.344578300734653,,,4843.449614233142,7.0707489583139544,50.22143706939599,2299.0742196736887,2247.5893880595095,4837.995688558244,0.8291963874076486,50.278052246980955,2301.6659912920113,2250.123120261701,0,,,,
0000_003_4_409_1_1, ,,,3,2024-01-27 00:00:00,221734,0,3,4,1,1,1,409,0.7302,34.6254,0.0,0.0,,21.8442,50,0.0,15,321.0,243628.0,3,25.45,96.7556,24.7,,,,1.0,1.0,413.741,2024-01-22 00:00:00,-56.673,-61.45424,,,,,,2024-01-27 22:17:34,243547.75,243596.45955,1022.9226488700399,22.344926926446924,,,4843.449614233142,7.0707489583139544,50.28394417158826,2301.9357161895723,2250.351694463291,4837.995688558244,0.8291963874076486,50.34062981411604,2304.5307136043452,2252.8885406438303,0,,,,
0000_003_10_250_1_1, ,,,3,2024-01-27 00:00:00,224708,0,3,10,1,1,1,250,0.7464,34.5436,0.0,0.0,,21.8442,50,0.0,22,349.0,242843.0,3,25.38,96.7556,24.7,,,,1.0,1.0,252.47,2024-01-22 00:00:00,-56.6703,-61.4539,,,,,,2024-01-27 22:47:08,242715.03333333333,242763.57634,1022.882347456777,22.34404657431533,,,4843.449614233142,7.0707489583139544,50.11201781062858,2294.0651436366898,2242.745853753848,4837.995688558244,0.8291963874076486,50.1685096386814,2296.6512684685817,2245.274125786621,0,,,,
0000_003_10_250_2_1, ,,,3,2024-01-27 00:00:00,231551,0,3,10,2,1,1,250,0.7464,34.5436,0.0,0.0,,21.8442,50,0.0,11,250.0,242824.0,3,25.38,96.7556,24.65,,,,1.0,1.0,252.47,2024-01-22 00:00:00,-56.6703,-61.4539,,,,,,2024-01-27 23:15:51,242778.16666666666,242826.7223,1022.882347456777,22.34404657431533,,,4843.449614233142,7.0707489583139544,50.12505259747715,2294.661859783245,2243.3292210864047,4837.995688558244,0.8291963874076486,50.181559119788346,2297.2486572998023,2245.858150755578,0,,,,
0000_003_12_225_1_1, ,,,3,2024-01-27 00:00:00,234630,0,3,12,1,1,1,225,0.5077,34.4882,0.0,0.0,,21.8442,50,0.0,20,278.0,242262.0,3,25.19,96.7556,24.63,,,,1.0,1.0,227.191,2024-01-22 00:00:00,-56.66972,-61.45382,,,,,,2024-01-27 23:46:30,242169.33333333334,242217.7672,1022.8985550014019,22.34440061516162,,,4843.449614233142,7.0707489583139544,49.99935017836987,2288.907361147118,2237.6679974330214,4837.995688558244,0.8291963874076486,50.05571499496343,2291.4876715541623,2240.190545142594,0,,,,
0000_003_13_200_1_1, ,,,3,2024-01-28 00:00:00,1504,0,3,13,1,1,1,200,0.4816,34.4678,0.0,0.0,,21.8442,50,0.0,55,240.0,241945.0,3,25.38,96.7556,24.7,,,,1.0,1.0,201.74,2024-01-22 00:00:00,-56.66916,-61.45376,,,,,,2024-01-28 00:15:04,241725.0,241773.345,1022.8251137421662,22.34279634960663,,,4843.449614233142,7.0707489583139544,49.90761115582949,2284.7076640860955,2233.7226896269044,4837.995688558244,0.8291963874076486,49.96387255401538,2287.283240128518,2236.240789747656,0,,,,
