Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (C),TA pipette vol (ml),TA cell temp (C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l),salinity_availability,ctd_temp_availability,Pressure_CTD,sampling_date,Longitude,Latitude,crm_batch,DIC_certified_umolkg,TA_certified_umolkg,sample_temp_flag,sample_temperature_alternative,analysis_datetime,netdiccounts,diccounts_volcorr,dic_sw_density,dicpipmass,dic_crm_pip_umol,dic_crm_counts_per_umol,dic_crm_counts_per_umol_mean_allcells,dic_crm_counts_per_umol_std_allcells,dic_sample_pip_umol_allcells,dic_sample_umol_per_l_allcells,dic_sample_umol_per_kg_allcells,dic_crm_counts_per_umol_mean_percell,dic_crm_counts_per_umol_std_percell,dic_sample_pip_umol,dic_sample_umol_per_l,dic_sample_umol_per_kg,dic_driftcorr_flag,dic_crm_counts_per_umol_driftcorr,dic_sample_pip_umol_driftcorr,dic_sample_umol_per_l_driftcorr,dic_sample_umol_per_kg_driftcorr,ta_acid_batch_number,dic_for_ta,file_name,salinity,analyte_volume,alkalinity_certified,analysis_batch,dic,file_path,total_silicate,total_phosphate,analyte_mass,file_good,titrant_molinity_here,reference_good,titrant_molinity,titrant_molinity_std_batch,alkalinity_umolkg,emf0,pH_initial,temperature_initial,alkalinity_offset,vindta,cell_colours,station_cast_niskin_depth,dic_umolkg_sample_replicate_mean,dic_umolkg_sample_replicate_std,ta_umolkg_sample_replicate_mean,ta_umolkg_sample_replicate_std,dic_sample_umol_per_kg_final,ta_sample_umol_per_kg_final
0000_003_24_3_1_1, ,2,2,3,2024-01-28 00:00:00,31503,0,3,24,1,1,1,3,1.0252,34.3154,0.0,0.0,,21.8442,50,0.0,49,265.0,239185.0,3,25.27,96.7556,24.68,1.0,,,1.0,1.0,3.972,2024-01-22 00:00:00,-56.66284,-61.45296,,,,,,2024-01-28 03:15:03,238968.5833333333,239016.37705,1022.7436604091348,22.341017066709224,,,4843.449614233142,7.070748958313954,49.33850919623306,2258.6548922017314,2208.427174506452,4837.995688558244,0.8291963874076486,49.39412903952951,2261.201098668274,2210.9167587151906,0,,,,,1.0,2210.9167587151906,0000_003_24_3_1_1.dat,34.3154,96.7556,,1.0,2210.9167587151906,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989749164600921,True,,False,0.0997250494249252,0.0001318310036671,2327.9949725522874,649.7089663242671,7.723287243849357,24.63,,Lucy,firebrick,0_3_24_3,,,,,2210.9,2328.0
0000_003_21_6_1_1, ,2,2,3,2024-01-28 00:00:00,24537,0,3,21,1,1,1,6,1.0147,34.3163,0.0,0.0,,21.8442,50,0.0,31,248.0,238964.0,3,25.18,96.7556,24.7,1.0,,,1.0,1.0,6.494,2024-01-22 00:00:00,-56.66466,-61.45318,,,,,,2024-01-28 02:45:37,238835.86666666667,238883.63384,1022.7717698385776,22.341631094707857,,,4843.449614233142,7.070748958313954,49.31110792704742,2257.400496564187,2207.1400122047453,4837.995688558244,0.8291963874076486,49.36669688059217,2259.945288936751,2209.628145381285,0,,,,,1.0,2209.628145381285,0000_003_21_6_1_1.dat,34.3163,96.7556,,1.0,2209.628145381285,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989732385718019,True,,False,0.0997250494249252,0.0001318310036671,2325.901627004496,649.651332739757,7.721820937672802,24.69,,Lucy,firebrick,0_3_21_6,,,,,2209.6,2325.9
0000_003_19_11_1_1, ,2,2,3,2024-01-28 00:00:00,21600,0,3,19,1,1,1,11,1.0012,34.3179,0.0,0.0,,21.8442,50,0.0,67,269.0,239212.0,3,25.18,96.7556,24.69,1.0,,,1.0,1.0,10.178,2024-01-22 00:00:00,-56.6652,-61.45324,,,,,,2024-01-28 02:16:00,238911.61666666667,238959.39899,1022.772978222609,22.34165749089032,,,4843.449614233142,7.070748958313954,49.326747606621545,2258.1164614232403,2207.837427761761,4837.995688558244,0.8291963874076486,49.382354190948845,2260.662060910852,2210.3263471425166,0,,,,,1.0,2210.3263471425166,0000_003_19_11_1_1.dat,34.3179,96.7556,,1.0,2210.3263471425166,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.098974808886609,True,,False,0.0997250494249252,0.0001318310036671,2327.514210499551,649.6418788532313,7.723480326888279,24.64,,Lucy,firebrick,0_3_19_11,,,,,2210.3,2327.5
0000_003_18_15_1_1, ,2,2,3,2024-01-28 00:00:00,14512,0,3,18,1,1,1,15,1.0093,34.3164,0.0,0.0,,21.8442,50,0.0,0,245.0,238450.0,3,25.31,96.7556,24.7,1.0,,,1.0,1.0,14.868,2024-01-22 00:00:00,-56.66556,-61.4533,,,,,,2024-01-28 01:45:12,238450.0,238497.69,1022.7322042897604,22.340766816946385,,,4843.449614233142,7.070748958313954,49.23144019074379,2253.753407803618,2203.659372757059,4837.995688558244,0.8291963874076486,49.28693933397442,2256.294088772966,2206.1435821705213,0,,,,,1.0,2206.1435821705213,0000_003_18_15_1_1.dat,34.3164,96.7556,,1.0,2206.1435821705213,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989729550002461,True,,False,0.0997250494249252,0.0001318310036671,2327.921530552685,649.6332322513796,7.724534969189255,24.7,,Lucy,firebrick,0_3_18_15,,,,,2206.1,2327.9
0000_003_15_18_1_1, ,2,2,3,2024-01-28 00:00:00,11549,0,3,15,1,1,1,18,0.9972,34.3184,0.0,0.0,,21.8442,50,0.0,9,270.0,239242.0,3,25.3,96.7556,24.7,1.0,,,1.0,1.0,17.526,2024-01-22 00:00:00,-56.66672,-61.45344,,,,,,2024-01-28 01:15:49,239201.5,239249.3403,1022.7367684345828,22.34086651703872,,,4843.449614233142,7.070748958313954,49.386598199984064,2260.856346306299,2210.5945694773463,4837.995688558244,0.8291963874076486,49.4422722545426,2263.405034496232,2213.08659701424,0,,,,,1.0,2213.08659701424,0000_003_15_18_1_1.dat,34.3184,96.7556,,1.0,2213.08659701424,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989733921568715,True,,False,0.0997250494249252,0.0001318310036671,2328.8457263168,649.6167609473026,7.721235945112362,24.69,,Lucy,firebrick,0_3_15_18,,,,,2213.1,2328.8
0000_003_14_50_1_1, ,2,2,3,2024-01-28 00:00:00,4424,0,3,14,1,1,1,50,0.831,34.3461,0.0,0.0,,21.8442,50,0.0,25,341.0,240255.0,3,25.38,96.7556,24.74,1.0,,,1.0,1.0,49.92,2024-01-22 00:00:00,-56.66824,-61.45362,,,,,,2024-01-28 00:44:24,240112.91666666663,240160.93925,1022.7332278436784,22.34078917566288,,,4843.449614233142,7.070748958313954,49.574773310547485,2269.470766178092,2219.0251615888383,4837.995688558244,0.8291963874076486,49.630659496974864,2272.0291654981584,2221.526693024812,0,,,,,1.0,2221.526693024812,0000_003_14_50_1_1.dat,34.3461,96.7556,,1.0,2221.526693024812,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989742538873609,True,,False,0.0997250494249252,0.0001318310036671,2328.574705825264,649.4900799812534,7.702410721861367,24.73,,Lucy,firebrick,0_3_14_50,,,,,2221.5,2328.6
0000_003_13_200_1_1, ,2,2,3,2024-01-28 00:00:00,1504,0,3,13,1,1,1,200,0.4816,34.4678,0.0,0.0,,21.8442,50,0.0,55,240.0,241945.0,3,25.38,96.7556,24.7,1.0,,,1.0,1.0,201.74,2024-01-22 00:00:00,-56.66916,-61.45376,,,,,,2024-01-28 00:15:04,241725.0,241773.345,1022.8251137421662,22.34279634960663,,,4843.449614233142,7.070748958313954,49.90761115582949,2284.7076640860955,2233.7226896269044,4837.995688558244,0.8291963874076486,49.96387255401538,2287.283240128518,2236.240789747656,0,,,,,1.0,2236.240789747656,0000_003_13_200_1_1.dat,34.4678,96.7556,,1.0,2236.240789747656,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989843191060844,True,,False,0.0997250494249252,0.0001318310036671,2336.463929468396,649.6075083854299,7.677084536445413,24.69,,Lucy,firebrick,0_3_13_200,,,,,2236.2,2336.5
0000_003_12_225_1_1, ,2,2,3,2024-01-27 00:00:00,234630,0,3,12,1,1,1,225,0.5077,34.4882,0.0,0.0,,21.8442,50,0.0,20,278.0,242262.0,3,25.19,96.7556,24.63,1.0,,,1.0,1.0,227.191,2024-01-22 00:00:00,-56.66972,-61.45382,,,,,,2024-01-27 23:46:30,242169.3333333333,242217.7672,1022.898555001402,22.34440061516162,,,4843.449614233142,7.070748958313954,49.99935017836987,2288.907361147118,2237.6679974330214,4837.995688558244,0.8291963874076486,50.05571499496343,2291.4876715541623,2240.190545142594,0,,,,,1.0,2240.190545142594,0000_003_12_225_1_1.dat,34.4882,96.7556,,1.0,2240.190545142594,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989872655956363,True,,False,0.0997250494249252,0.0001318310036671,2338.507040594658,649.4859870407986,7.673455004753103,24.64,,Lucy,firebrick,0_3_12_225,,,,,2240.2,2338.5
0000_003_10_250_1_1, ,2,2,3,2024-01-27 00:00:00,224708,0,3,10,1,1,1,250,0.7464,34.5436,0.0,0.0,,21.8442,50,0.0,22,349.0,242843.0,3,25.38,96.7556,24.7,1.0,,,1.0,1.0,252.47,2024-01-22 00:00:00,-56.6703,-61.4539,,,,,,2024-01-27 22:47:08,242715.03333333333,242763.57634,1022.882347456777,22.34404657431533,,,4843.449614233142,7.070748958313954,50.11201781062858,2294.0651436366898,2242.745853753848,4837.995688558244,0.8291963874076486,50.1685096386814,2296.6512684685817,2245.274125786621,0,,,,,1.0,2245.274125786621,0000_003_10_250_1_1.dat,34.5436,96.7556,,1.0,2245.274125786621,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989895722124636,True,,False,0.0997250494249252,0.0001318310036671,2343.1310066628,649.5625966465944,7.659041778036252,24.7,,Lucy,firebrick,0_3_10_250,2245.5661382710996,0.4129680159319255,2341.90233455645,1.7376047565087487,2245.6,2341.9
0000_003_08_300_1_1, ,2,2,3,2024-01-28 00:00:00,34442,0,3,8,1,1,1,300,0.6605,34.5591,0.0,0.0,,21.8442,50,0.0,19,254.0,242860.0,3,24.81,96.7556,24.56,1.0,,,1.0,1.0,303.145,2024-01-22 00:00:00,-56.67106,-61.45398,,,,,,2024-01-28 03:44:42,242779.56666666668,242828.12258,1023.0673760269289,22.34808837540744,,,4843.449614233142,7.070748958313954,50.125341647660704,2294.675092137076,2242.9364340092843,4837.995688558244,0.8291963874076486,50.18184849582135,2297.261904570611,2245.4649208852725,0,,,,,1.0,2245.4649208852725,0000_003_08_300_1_1.dat,34.5591,96.7556,,1.0,2245.4649208852725,/Users/eldros001/ED_Science/VINDTA_DATA_PROCESSING/rawdata/,0.0,0.0,0.0989962256845964,True,,False,0.0997250494249252,0.0001318310036671,2342.8113435835826,649.6092337204107,7.668401152509253,24.51,,Lucy,firebrick,0_3_8_300,2247.1801568801257,2.4257100065913844,2342.7685878795937,0.060465696449372566,2247.2,2342.8
